category,sub-category
,Category:Mali War
,Category:Intercommunal conflict in Mandatory Palestine
,Category:Nigerian Civil War
,Category:Second Congo War
,Category:Second Sudanese Civil War
,Category:Sri Lankan Civil War
,Category:Yugoslav Wars
Pages using infobox settlement with bad settlement type,
Articles lacking reliable references from January 2012,
1984 in Lebanon,Category:1984 establishments in Lebanon
,Category:1984 crimes in Lebanon
,Category:1984 in Lebanese sport
Members of the 9th Knesset (1977–1981),
Subscription required using via,
Political parties in Lebanon,Category:Lebanese politicians by party
,Category:Armenian political parties in Lebanon
,Category:Christian political parties in Lebanon
,Category:Conservative parties in Lebanon
,Category:Defunct political parties in Lebanon
,Category:Islamic political parties in Lebanon
,Category:Kataeb Party
,Category:Liberal parties in Lebanon
,Category:Nationalist parties in Lebanon
,Category:Political party alliances in Lebanon
,Category:Socialist parties in Lebanon
,Category:Wikipedia categories named after political parties in Lebanon
2005 establishments in Lebanon,
Wikipedia articles needing clarification from October 2013,
Iranian security organisations,
Palestinian diaspora in the Arab world,Category:Arab people of Palestinian descent
,Category:Palestinians in Jordan
,Category:Palestinians in Lebanon
,Category:Palestinians in Syria
Articles needing additional references from August 2011,
Military doctrines,Category:Aerial ramming
,Category:Counterinsurgency
,Category:Insurgency
,Category:Joint warfare
,Category:Targeting (warfare)
,Category:Military theory
,Category:United States Department of Defense doctrine
Wikipedia indefinitely move-protected pages,Category:Biography articles of living people
,Category:Bulletin board systems
,Category:Candidates for speedy deletion
,Category:Date of birth unknown
,Category:Living people
,Category:Redirects from moves
,Category:Suspected Wikipedia sockpuppets of Philp the Moose
,Category:Suspected Wikipedia sockpuppets of The Fresh Beat Band
Syncretic political movements,Category:Anarcho-capitalism
,Category:ANO 2011
,Category:Arab socialism
,Category:Conservative Revolutionary movement
,Category:Distributism
,Category:Justicialist Party
,Category:LaRouche movement
,Category:Left-wing nationalism
,Category:Nasserism
,Category:National Bolshevism
,Category:National syndicalism
,Category:People's Mujahedin of Iran
,Category:Peronism
,Category:Right-wing anti-capitalism
,Category:Third Position
Invasions by Syria,
1976 in Lebanon,Category:1976 establishments in Lebanon
,Category:1976 crimes in Lebanon
2009 drama films,Category:2009 action drama films
,Category:2009 biographical drama films
,Category:2009 comedy-drama films
,Category:2009 crime drama films
,Category:2009 romantic drama films
,Category:2009 thriller drama films
Conflicts in 1982,Category:Attacks in 1982
,Category:Battles in 1982
,Category:Eritrean War of Independence
,Category:Falklands War
,Category:Guatemalan Civil War
,Category:Internal conflict in Peru
,Category:Iran–Iraq War
,Category:1982 labor disputes and strikes
,Category:Mozambican Civil War
,Category:1982 riots
,Category:South African Border War
1860 in the Ottoman Empire,Category:1860 disestablishments in the Ottoman Empire
,Category:1860 establishments in the Ottoman Empire
,Category:1860 in Ottoman Syria
,Category:1860 in Serbia
Israeli military-related lists,
Antisemitism in the Arab world,Category:Al-Qaeda
,Category:Antisemitism in Egypt
,Category:Hamas
,Category:Antisemitism in Iraq
,Category:Islamic State of Iraq and the Levant
,Category:Jewish exodus from Arab and Muslim countries
,Category:Antisemitism in Libya
,Category:Antisemitism in Morocco
,Category:Antisemitism in Saudi Arabia
,Category:Antisemitism in Syria
,Category:Antisemitism in Tunisia
,Category:Antisemitism in Yemen
States and territories established in 1861,Category:Nevada Territory
Wars involving Saudi Arabia,Category:Battles involving Saudi Arabia
,Category:Gulf War
,Category:Saudi Arabian involvement in the Syrian civil war
,Category:Six-Day War
,Category:Wahhabi War
,Category:Yemeni Civil War (2014–present)
Holocaust denial,Category:Holocaust denial by country
,Category:Holocaust-denying books
,Category:Books about Holocaust denial
,Category:Holocaust denial in the European Union
,Category:Films about Holocaust denial
,Category:Holocaust deniers
,Category:Holocaust-denying websites
,Category:Ku Klux Klan
,Category:Laws criminalizing Holocaust denial
Articles with SELIBR identifiers,
CS1 maint: multiple names: authors list,
Member states of the United Nations,
Ireland and the United Nations,Category:Irish officials of the United Nations
,Category:Permanent Representatives of Ireland to the United Nations
,Category:United Nations Security Council resolutions concerning the Republic of Ireland
Member states of the Arab League,Category:Algeria
,Category:Bahrain
,Category:Comoros
,Category:Djibouti
,Category:Egypt
,Category:Jordan
,Category:Kuwait
,Category:Lebanon
,Category:Libya
,Category:Mauritania
,Category:Morocco
,Category:Oman
,Category:Qatar
,Category:Saudi Arabia
,Category:Somalia
,Category:Sudan
,Category:Syrian opposition
,Category:Tunisia
,Category:United Arab Emirates
,Category:Yemen
Circulating currencies,
Wikipedia articles needing factual verification from July 2011,
Articles with unsourced statements from August 2012,
Invasions by Israel,Category:2006 Lebanon War
,Category:2014 Israel–Gaza conflict
1976 in Syria,Category:1976 establishments in Syria
,Category:1976 Pan Arab Games
,Category:1976 in Syrian sport
Foreign intervention in the First Libyan Civil War,
Conflicts in 2006,Category:2006 Lebanon War
,Category:Attacks in 2006
,Category:Battles in 2006
,Category:War in Darfur
,Category:Internal conflict in Bangladesh
,Category:Internal conflict in Peru
,Category:Operation Summer Rains
,Category:Ituri conflict
,Category:2006 labor disputes and strikes
,Category:Military operations of the Iraq War in 2006
,Category:2006 riots
Wars involving Qatar,Category:Gulf War
,Category:Qatari involvement in the Syrian civil war
,Category:Yemeni Civil War (2014–present)
Articles with unsourced statements from May 2021,
Shia–Sunni relations,Category:Anti-Ismailism
,Category:Converts to Shia Islam from Sunni Islam
,Category:Converts to Sunni Islam from Shia Islam
,Category:Iran–Saudi Arabia relations
,Category:Shia–Sunni sectarian violence
1948 in All-Palestine (Gaza),Category:1948 Arab–Israeli War
,Category:1948 Palestinian exodus
,Category:Arab villages depopulated during the 1948 Arab–Israeli War
Metacritic ID same as Wikidata,
Articles with unsourced statements from October 2020,
Targeting (warfare),Category:Targeting pods
,Category:Weapon guidance
,Category:Weapon Locating Radar
CS1 Norwegian-language sources (no),
Lebanon and the United Nations,Category:Lebanese officials of the United Nations
,Category:Permanent Representatives of Lebanon to the United Nations
,Category:United Nations Security Council resolutions concerning Lebanon
1921 in France,Category:1921 disestablishments in France
,Category:1921 establishments in France
,Category:Franco-Turkish War
,Category:1921 in the French colonial empire
,Category:1921 French novels
,Category:1921 in Paris
,Category:1921 in French sport
Conflicts in 1987,Category:1987–1989 JVP insurrection
,Category:Attacks in 1987
,Category:Eritrean War of Independence
,Category:Guatemalan Civil War
,Category:Internal conflict in Peru
,Category:Iran–Iraq War
,Category:1987 labor disputes and strikes
,Category:Mozambican Civil War
,Category:1987 riots
,Category:South African Border War
,Category:Sri Lankan Civil War
English-language films,Category:English-language films by country
,Category:English-language films by decade
,Category:English-language films by studio
,Category:English-language Netflix original films
,Category:3 Ninjas
,Category:The Addams Family films
,Category:Alien (franchise)
,Category:Amityville Horror films
,Category:Attack of the Killer Tomatoes
,Category:Austin Powers
,Category:Back to the Future (franchise) films
,Category:Batman films
,Category:Beetlejuice
,Category:Before trilogy
,Category:Ben 10 films
,Category:Ben-Hur films
,Category:Beverly Hills Cop (franchise)
,Category:Blade (franchise)
,Category:Blair Witch (franchise)
,Category:Blood: The Last Vampire
,Category:Camp Rock
,Category:Carry On films
,Category:Casper films
,Category:Child's Play (franchise)
,Category:The Chronicles of Riddick (franchise)
